precinctid,writein_bernard_bernie_sanders__tu,gary_johnson__bill_weld,writein_jerry_white__niles_niemuth,jill_stein__ajamu_baraka,writein_evan_mcmullin__nathan_johnso,hillary_clinton__tim_kaine,writein_laurence_kotlikoff__edward_l,writein,precincts,under_vote,ballots_cast,gloria_estela_la_riva__dennis_j_bank,over_vote,registration,writein_mike_maturen__juan_munoz,donald_j_trump__michael_r_pence
7502,2,18,0,12,2,578,0,8,1,5,694,1,0,808,0,68
7503,5,15,0,10,0,599,0,5,1,8,688,1,4,808,1,40
7504,2,8,0,5,0,366,0,4,1,5,420,3,1,503,0,26
7505,1,15,0,15,1,620,0,3,1,10,762,5,4,915,0,88
7506,7,16,0,18,0,675,0,5,1,8,798,2,1,1018,0,66
7507,0,6,0,20,0,524,0,6,1,10,631,6,2,992,0,57
7508,1,11,0,12,1,498,0,1,1,11,606,3,1,735,0,67
7509,2,19,0,16,0,708,0,2,1,9,825,1,1,1006,0,67
7512,1,6,0,5,1,345,0,3,1,9,493,3,4,638,0,116
7513,3,11,0,12,0,491,0,4,1,9,601,4,9,836,0,58
7514,0,5,0,8,0,462,0,5,1,9,544,4,5,886,0,46
7515,0,9,0,8,1,632,0,3,1,4,710,4,4,898,0,45
7516,4,9,0,16,0,645,0,4,1,6,759,1,1,907,0,73
7517,1,16,0,23,1,758,0,2,1,5,826,2,0,956,0,18
7518,4,20,0,21,0,778,0,7,1,7,858,0,0,993,0,21
7519,2,12,0,14,0,619,0,2,1,5,676,4,1,802,0,17
7521,7,12,0,28,0,655,0,1,1,6,726,2,1,854,0,14
7522,2,14,0,18,0,686,0,6,1,3,742,2,1,848,0,10
7523,5,21,0,24,0,614,0,2,1,6,689,3,0,821,0,14
7524,3,9,0,20,1,469,0,5,1,4,532,1,2,728,0,18
7525,5,6,0,16,1,578,0,5,1,5,636,4,4,870,0,12
7526,4,12,1,15,3,787,0,5,1,6,858,4,0,999,0,21
7527,7,8,0,12,0,516,0,3,1,6,624,3,1,773,0,68
7529,6,20,0,24,0,777,1,4,1,3,860,3,4,992,0,18
7531,5,18,0,37,1,726,0,3,1,3,805,2,0,954,0,10
7532,2,15,0,15,1,648,0,3,1,7,741,5,0,886,0,45
7533,9,24,0,40,0,792,0,5,1,3,910,3,0,1025,0,34
7534,5,13,0,37,0,690,0,1,1,2,775,3,1,967,0,23
7535,2,14,0,23,1,644,0,2,1,5,711,3,1,807,0,16
7536,6,13,0,22,0,711,0,1,1,7,775,3,0,895,0,12
7537,1,12,0,16,0,618,0,1,1,1,664,1,0,783,0,14
7538,2,12,0,16,0,683,0,1,1,7,736,1,1,831,0,13
7539,6,14,0,29,0,751,0,5,1,3,821,3,0,978,0,10
7541,5,7,0,17,0,672,0,5,1,3,728,3,0,865,0,16
7542,9,10,0,24,0,688,0,2,1,4,756,5,0,906,0,14
7543,2,7,0,18,0,744,0,5,1,3,806,4,0,993,0,23
7544,5,12,0,21,1,754,0,1,1,5,821,3,0,962,0,19
7545,7,12,0,23,0,744,0,2,1,7,833,7,2,970,0,29
7546,8,18,0,24,0,731,0,6,1,4,817,3,2,935,0,21
7547,12,12,0,32,0,754,0,2,1,3,837,2,0,1057,0,20
7548,7,18,0,20,0,814,0,0,1,4,894,1,1,1135,0,29
7549,7,17,0,25,1,637,0,4,1,11,734,2,0,854,0,30
7551,2,10,0,14,1,610,0,3,1,5,669,3,0,762,0,21
7552,5,9,0,11,3,623,0,2,1,8,678,1,0,756,0,16
7553,0,2,0,3,0,153,0,2,1,1,168,0,0,187,0,7
7554,4,17,0,18,0,685,0,1,1,3,769,3,0,859,0,38
7555,3,16,0,26,0,767,0,4,1,4,846,2,0,893,0,24
7556,0,15,0,8,0,840,0,3,1,5,906,1,1,1008,0,33
7601,8,7,0,21,0,481,0,7,1,6,588,5,5,929,0,48
7602,7,15,0,22,0,583,0,10,1,3,689,3,7,962,0,39
7603,3,15,0,33,0,595,0,1,1,5,690,5,1,888,0,32
7604,6,12,0,25,0,558,0,3,1,5,677,7,3,989,0,58
7605,3,8,0,14,0,354,0,1,1,4,428,3,4,771,0,37
7606,7,10,0,22,0,517,0,10,1,7,640,3,6,992,0,58
7607,4,12,0,41,1,586,0,4,1,6,710,5,5,1055,0,46
7608,0,4,0,5,0,194,0,1,1,6,244,2,0,456,0,32
7609,2,9,0,22,0,434,0,1,1,14,551,5,6,1051,0,58
7611,4,3,0,20,0,381,0,7,1,6,479,6,5,898,0,47
7612,2,3,0,14,0,324,0,1,1,6,418,3,3,668,0,62
7613,4,7,0,14,0,517,0,3,1,8,617,10,5,1015,0,49
