precinctid,matt_haney,writein,mark_sanchez,stevon_cook,under_vote,jill_wynns,precincts,ballots_cast,trevor_mcneil,over_vote,ian_kalin,registration,rachel_norton,rob_geller,phil_kim
7329,171,0,136,134,821,124,1,454,90,8,69,607,153,41,69
7331,323,0,196,245,1490,237,1,793,179,4,94,933,260,52,92
7332,278,8,274,234,1432,143,1,718,120,8,62,889,165,43,105
7333,347,3,280,266,1782,238,1,888,146,8,74,1101,249,49,110
7334,295,5,260,265,1524,180,1,774,137,12,67,963,210,42,99
7335,347,2,306,279,1758,210,1,894,136,0,98,1002,281,44,115
7336,330,1,260,299,1755,211,1,883,151,16,88,1017,261,56,104
7337,318,1,221,224,1411,231,1,755,155,4,79,944,244,37,95
7338,245,2,232,158,1382,216,1,695,134,8,58,1005,204,37,104
7339,202,2,200,159,928,116,1,495,91,4,43,660,137,39,59
7341,286,1,272,225,1565,157,1,765,129,4,76,974,203,45,97
7342,314,1,313,273,1456,167,1,791,154,12,75,1034,232,48,119
7343,262,2,250,240,1179,134,1,618,78,0,52,746,159,30,86
7344,358,4,353,317,1704,183,1,916,160,16,94,1143,261,57,157
7345,376,1,320,304,1689,215,1,891,165,0,82,1186,255,36,121
7346,344,2,328,296,1407,161,1,762,100,0,48,991,208,54,100
7347,351,2,342,338,1598,161,1,841,133,8,76,1085,215,36,104
7348,236,0,215,224,1252,147,1,647,118,12,57,957,182,43,102
7349,318,1,296,270,1356,199,1,771,147,8,63,1006,266,48,112
7501,223,0,140,162,985,112,1,522,124,0,64,574,187,28,63
7502,298,1,208,244,1278,149,1,694,155,4,84,808,230,40,85
7503,295,1,244,229,1243,139,1,688,130,4,79,808,253,43,92
7504,165,10,120,139,904,58,1,420,52,16,24,503,120,12,60
7505,346,2,231,268,1290,215,1,762,148,20,66,915,315,47,100
7506,336,0,272,299,1538,126,1,798,124,4,70,1018,262,60,101
7507,279,2,260,299,992,128,1,631,122,16,40,992,248,53,85
7508,264,1,213,206,1073,140,1,606,113,4,62,735,217,27,104
7509,365,2,292,306,1448,181,1,825,169,0,78,1006,281,60,118
7512,214,1,186,197,841,85,1,493,89,12,56,638,179,47,65
7513,234,0,217,234,1122,101,1,601,104,20,52,836,190,50,80
7514,216,1,187,226,1004,93,1,544,112,0,30,886,190,31,86
7515,310,2,246,271,1287,151,1,710,133,4,41,898,249,33,113
7516,334,5,271,267,1294,189,1,759,144,4,92,907,281,50,105
7517,411,0,343,371,1371,162,1,826,151,8,75,956,287,40,85
7518,440,2,375,392,1454,151,1,858,129,8,82,993,258,42,99
7519,342,6,278,300,1178,119,1,676,108,4,54,802,206,30,79
7521,356,2,309,324,1279,126,1,726,123,0,50,854,226,31,78
7522,388,0,304,361,1259,148,1,742,110,0,58,848,232,28,80
7523,367,0,316,338,1211,107,1,689,85,0,64,821,177,36,55
7524,249,2,203,246,930,90,1,532,91,4,51,728,175,27,60
7525,269,1,240,277,1201,113,1,636,102,16,43,870,197,19,66
7526,431,2,330,369,1476,177,1,858,157,0,88,999,276,45,81
7527,258,1,241,250,1157,115,1,624,104,4,56,773,207,32,71
7529,429,0,376,418,1501,138,1,860,121,4,69,992,246,29,109
